no	n o |
pensión	p e n s i ó n |
fuese	f u e s e |
pagada	p a g a d a |
haya	h a y a |
podido	p o d i d o |
semillas	s e m i l l a s |
vegetales	v e g e t a l e s |
jana	j a n a |
roto	r o t o |
brazo	b r a z o |
pueda	p u e d a |
cambiar	c a m b i a r |
campana	c a m p a n a |
seguía	s e g u í a |
sonando	s o n a n d o |
triste	t r i s t e |
parada	p a r a d a |
conoces	c o n o c e s |
explico	e x p l i c o |
celos	c e l o s |
cuarenta	c u a r e n t a |
mayo	m a y o |
quites	q u i t e s |
sayo	s a y o |
pica	p i c a |
ajos	a j o s |
come	c o m e |
anoche	a n o c h e |
gustaría	g u s t a r í a |
viajar	v i a j a r |
otros	o t r o s |
países	p a í s e s |
uvas	u v a s |
queso	q u e s o |
saben	s a b e n |
beso	b e s o |
apenas	a p e n a s |
nuestras	n u e s t r a s |
miradas	m i r a d a s |
cruzaron	c r u z a r o n |
comencé	c o m e n c é |
perder	p e r d e r |
cajas	c a j a s |
vienen	v i e n e n |
grandes	g r a n d e s |
muecas	m u e c a s |
cayendo	c a y e n d o |
acaban	a c a b a n |
encajando	e n c a j a n d o |
rosalía	r o s a l í a |
artista	a r t i s t a |
revelación	r e v e l a c i ó n |
declaraciones	d e c l a r a c i o n e s |
acusados	a c u s a d o s |
verdaderas	v e r d a d e r a s |
proclamas	p r o c l a m a s |
os	o s |
había	h a b í a |
preocuparse	p r e o c u p a r s e |
cristal	c r i s t a l |
esmeralda	e s m e r a l d a |
fragata	f r a g a t a |
dejaba	d e j a b a |
estela	e s t e l a |
bullentes	b u l l e n t e s |
rizos	r i z o s |
baile	b a i l e |
comienza	c o m i e n z a |
sepulturas	s e p u l t u r a s |
llenas	l l e n a s |
par	p a r |
volverá	v o l v e r á |
lejos	l e j o s |
cerca	c e r c a |
blancos	b l a n c o s |
mami	m a m i |
paquete	p a q u e t e |
enorme	e n o r m e |
excusas	e x c u s a s |
posarse	p o s a r s e |
cocoteros	c o c o t e r o s |
arenal	a r e n a l |
desgajaban	d e s g a j a b a n |
palmas	p a l m a s |
encontró	e n c o n t r ó |
doncella	d o n c e l l a |
salvación	s a l v a c i ó n |
arreglaron	a r r e g l a r o n |
despertado	d e s p e r t a d o |
ensayar	e n s a y a r |
pasos	p a s o s |
anillamos	a n i l l a m o s |
chip	c h i p |
perderemos	p e r d e r e m o s |
fué	f u é |
solamente	s o l a m e n t e |
equivocación	e q u i v o c a c i ó n |
terral	t e r r a l |
soplaba	s o p l a b a |
furia	f u r i a |
removiendo	r e m o v i e n d o |
aventando	a v e n t a n d o |
arenas	a r e n a s |
aun	a u n |
corazón	c o r a z ó n |
sangraba	s a n g r a b a |
perdoné	p e r d o n é |
duda	d u d a |
miran	m i r a n |
crimen	c r i m e n |
muerte	m u e r t e |
entra	e n t r a |
protocolo	p r o t o c o l o |
dolores	d o l o r e s |
soportar	s o p o r t a r |
terribles	t e r r i b l e s |
siento	s i e n t o |
cagando	c a g a n d o |
virutas	v i r u t a s |
suspensos	s u s p e n s o s |
amable	a m a b l e |
bienvenida	b i e n v e n i d a |
cena	c e n a |
duerme	d u e r m e |
vivirás	v i v i r á s |
pasado	p a s a d o |
falta	f a l t a |
merendar	m e r e n d a r |
muchachitos	m u c h a c h i t o s |
decirle	d e c i r l e |
ponen	p o n e n |
suba	s u b a |
dilate	d i l a t e |
podremos	p o d r e m o s |
cocinar	c o c i n a r |
sueño	s u e ñ o |
películas	p e l í c u l a s |
acción	a c c i ó n |
parecen	p a r e c e n |
violentas	v i o l e n t a s |
profilaxis	p r o f i l a x i s |
delante	d e l a n t e |
consejo	c o n s e j o |
ninguno	n i n g u n o |
necio	n e c i o |
cree	c r e e |
compre	c o m p r e |
lotería	l o t e r í a |
partir	p a r t i r |
bajarán	b a j a r á n |
temperaturas	t e m p e r a t u r a s |
pobrecitas	p o b r e c i t a s |
quieren	q u i e r e n |
digas	d i g a s |
montón	m o n t ó n |
página	p á g i n a |
llamó	l l a m ó |
tardaron	t a r d a r o n |
llamarme	l l a m a r m e |
sota	s o t a |
escuchad	e s c u c h a d |
encontremos	e n c o n t r e m o s |
llavero	l l a v e r o |
llaves	l l a v e s |
debían	d e b í a n |
vivir	v i v i r |
tías	t í a s |
vuelvo	v u e l v o |
cura	c u r a |
salir	s a l i r |
volando	v o l a n d o |
ventana	v e n t a n a |
llego	l l e g o |
comprenderlo	c o m p r e n d e r l o |
cerdo	c e r d o |
inculto	i n c u l t o |
sed	s e d |
alegres	a l e g r e s |
mentirosos	m e n t i r o s o s |
hilo	h i l o |
ovillo	o v i l l o |
muriendo	m u r i e n d o |
recuperarse	r e c u p e r a r s e |
fácil	f á c i l |
lentas	l e n t a s |
ninguna	n i n g u n a |
verle	v e r l e |
espera	e s p e r a |
montaña	m o n t a ñ a |
tapatía	t a p a t í a |
quince	q u i n c e |
merito	m e r i t o |
solidaridad	s o l i d a r i d a d |
desastre	d e s a s t r e |
querido	q u e r i d o |
entrevistan	e n t r e v i s t a n |
pintor	p i n t o r |
radio	r a d i o |
parkour	p a r k o u r |
moda	m o d a |
jinete	j i n e t e |
amiga	a m i g a |
sara	s a r a |
robar	r o b a r |
mochila	m o c h i l a |
año	a ñ o |
nueva	n u e v a |
juguete	j u g u e t e |
volador	v o l a d o r |
punto	p u n t o |
caer	c a e r |
precipicio	p r e c i p i c i o |
bajar	b a j a r |
recrees	r e c r e e s |
macho	m a c h o |
protagonista	p r o t a g o n i s t a |
mad	m a d |
men	m e n |
honoriscausa	h o n o r i s c a u s a |
verte	v e r t e |
enfadado	e n f a d a d o |
doctor	d o c t o r |
conseguido	c o n s e g u i d o |
talante	t a l a n t e |
enderezándome	e n d e r e z á n d o m e |
cruzaban	c r u z a b a n |
caballos	c a b a l l o s |
islas	i s l a s |
flotantes	f l o t a n t e s |
gigantescas	g i g a n t e s c a s |
ninfea	n i n f e a |
desesperadas	d e s e s p e r a d a s |
dieciséis	d i e c i s é i s |
tormenta	t o r m e n t a |
entretenida	e n t r e t e n i d a |
hubiera	h u b i e r a |
arriesgado	a r r i e s g a d o |
coger	c o g e r |
hija	h i j a |
oído	o í d o |
pendejo	p e n d e j o |
siente	s i e n t e |
problema	p r o b l e m a |
walter	w a l t e r |
skyler	s k y l e r |
white	w h i t e |
deberían	d e b e r í a n |
estatua	e s t a t u a |
humana	h u m a n a |
rambla	r a m b l a |
tratando	t r a t a n d o |
desbordados	d e s b o r d a d o s |
nuevos	n u e v o s |
pide	p i d e |
picadero	p i c a d e r o |
interesas	i n t e r e s a s |
hablado	h a b l a d o |
raquel	r a q u e l |
blusa	b l u s a |
nailon	n a i l o n |
hubieran	h u b i e r a n |
impedido	i m p e d i d o |
salvara	s a l v a r a |
hemos	h e m o s |
quedado	q u e d a d o |
colgando	c o l g a n d o |
elige	e l i g e |
tocado	t o c a d o |
bruja	b r u j a |
oro	o r o |
vuelvas	v u e l v a s |
loca	l o c a |
tendremos	t e n d r e m o s |
morirnos	m o r i r n o s |
aceite	a c e i t e |
encima	e n c i m a |
conocimientos	c o n o c i m i e n t o s |
militares	m i l i t a r e s |
organice	o r g a n i c e |
vendrán	v e n d r á n |
pesares	p e s a r e s |
buscares	b u s c a r e s |
gancho	g a n c h o |
decide	d e c i d e |
terremoto	t e r r e m o t o |
nueve	n u e v e |
grados	g r a d o s |
sudan	s u d a n |
chile	c h i l e |
país	p a í s |
suspendidas	s u s p e n d i d a s |
fama	f a m a |
échate	é c h a t e |
sábado	s á b a d o |
local	l o c a l |
parecemos	p a r e c e m o s |
algún	a l g ú n |
tipo	t i p o |
estación	e s t a c i ó n |
combustible	c o m b u s t i b l e |
paciente	p a c i e n t e |
listo	l i s t o |
prisa	p r i s a |
galería	g a l e r í a |
burro	b u r r o |
haz	h a z |
sube	s u b e |
mando	m a n d o |
lloraba	l l o r a b a |
moriscos	m o r i s c o s |
blanca	b l a n c a |
alpujarra	a l p u j a r r a |
ti	t i |
precisa	p r e c i s a |
guíe	g u í e |
chiva	c h i v a |
morenos	m o r e n o s |
fresco	f r e s c o |
heridas	h e r i d a s |
naufragio	n a u f r a g i o |
vidrio	v i d r i o |
pisó	p i s ó |
algas	a l g a s |
mutantes	m u t a n t e s |
nieblas	n i e b l a s |
espesas	e s p e s a s |
pared	p a r e d |
granito	g r a n i t o |
sería	s e r í a |
cáspita	c á s p i t a |
perrito	p e r r i t o |
sé	s é |
vergüenza	v e r g ü e n z a |
dolor	d o l o r |
afición	a f i c i ó n |
regazo	r e g a z o |
femenino	f e m e n i n o |
conservo	c o n s e r v o |
policía	p o l i c í a |
tardó	t a r d ó |
minutos	m i n u t o s |
personarse	p e r s o n a r s e |
diecisiete	d i e c i s i e t e |
dieciocho	d i e c i o c h o |
fax	f a x |
españa	e s p a ñ a |
ajo	a j o |
cebolla	c e b o l l a |
limón	l i m ó n |
déjate	d é j a t e |
inyección	i n y e c c i ó n |
domingo	d o m i n g o |
boda	b o d a |
sabemos	s a b e m o s |
pondremos	p o n d r e m o s |
zonas	z o n a s |
costeras	c o s t e r a s |
existe	e x i s t e |
acúmulo	a c ú m u l o |
moléculas	m o l é c u l a s |
reíd	r e í d |
advertí	a d v e r t í |
detuve	d e t u v e |
mandé	m a n d é |
detener	d e t e n e r |
alguna	a l g u n a |
manera	m a n e r a |
di	d i |
cuenta	c u e n t a |
perdiendo	p e r d i e n d o |
reminiscencias	r e m i n i s c e n c i a s |
sueños	s u e ñ o s |
ande	a n d e |
caliente	c a l i e n t e |
ríase	r í a s e |
saltamos	s a l t a m o s |
cesta	c e s t a |
sabes	s a b e s |
coge	c o g e |
tranvía	t r a n v í a |
loco	l o c o |
tema	t e m a |
senda	s e n d a |
regalo	r e g a l o |
debo	d e b o |
regresar	r e g r e s a r |
reparar	r e p a r a r |
usa	u s a |
piernas	p i e r n a s |
gato	g a t o |
pongas	p o n g a s |
plato	p l a t o |
entendedor	e n t e n d e d o r |
pocas	p o c a s |
palabras	p a l a b r a s |
bastan	b a s t a n |
gustan	g u s t a n |
perros	p e r r o s |
llover	l l o v e r |
mojado	m o j a d o |
confieso	c o n f i e s o |
sentí	s e n t í |
estremecimiento	e s t r e m e c i m i e n t o |
cualquier	c u a l q u i e r |
sonríe	s o n r í e |
acaso	a c a s o |
habré	h a b r é |
cometido	c o m e t i d o |
corten	c o r t e n |
cable	c a b l e |
trenzado	t r e n z a d o |
ayudarme	a y u d a r m e |
movimiento	m o v i m i e n t o |
poética	p o é t i c a |
gástrica	g á s t r i c a |
modelo	m o d e l o |
teórico	t e ó r i c o |
interdisciplinario	i n t e r d i s c i p l i n a r i o |
morir	m o r i r |
detectives	d e t e c t i v e s |
descubrieron	d e s c u b r i e r o n |
construiste	c o n s t r u i s t e |
baliza	b a l i z a |
seguimiento	s e g u i m i e n t o |
escondidas	e s c o n d i d a s |
trampa	t r a m p a |
infiltrados	i n f i l t r a d o s |
veo	v e o |
hormiguitas	h o r m i g u i t a s |
seguro	s e g u r o |
ansiaba	a n s i a b a |
verme	v e r m e |
solas	s o l a s |
pagador	p a g a d o r |
duelen	d u e l e n |
prendas	p r e n d a s |
dando	d a n d o |
setenta	s e t e n t a |
metros	m e t r o s |
eslora	e s l o r a |
naranjas	n a r a n j a s |
fruta	f r u t a |
verano	v e r a n o |
herejes	h e r e j e s |
mercaderes	m e r c a d e r e s |
cámara	c á m a r a |
refieres	r e f i e r e s |
candidato	c a n d i d a t o |
joven	j o v e n |
conviene	c o n v i e n e |
legumbre	l e g u m b r e |
cocida	c o c i d a |
fiambrera	f i a m b r e r a |
golpe	g o l p e |
karate	k a r a t e |
cama	c a m a |
pendiente	p e n d i e n t e |
conversación	c o n v e r s a c i ó n |
quizá	q u i z á |
rusos	r u s o s |
barcos	b a r c o s |
chisporroteo	c h i s p o r r o t e o |
sospechoso	s o s p e c h o s o |
mirada	m i r a d a |
arreglada	a r r e g l a d a |
peligro	p e l i g r o |
seguridad	s e g u r i d a d |
universo	u n i v e r s o |
entero	e n t e r o |
estás	e s t á s |
millas	m i l l a s |
bonita	b o n i t a |
tibia	t i b i a |
antiguos	a n t i g u o s |
salteadores	s a l t e a d o r e s |
fatigados	f a t i g a d o s |
aventurera	a v e n t u r e r a |
despechados	d e s p e c h a d o s |
botín	b o t í n |
incierto	i n c i e r t o |
agitaba	a g i t a b a |
movía	m o v í a |
lívida	l í v i d a |
estremecimientos	e s t r e m e c i m i e n t o s |
nerviosos	n e r v i o s o s |
hueso	h u e s o |
encuentra	e n c u e n t r a |
inmutado	i n m u t a d o |
destruido	d e s t r u i d o |
desayuno	d e s a y u n o |
pregonada	p r e g o n a d a |
aplique	a p l i q u e |
producto	p r o d u c t o |
directamente	d i r e c t a m e n t e |
repente	r e p e n t e |
escuchamos	e s c u c h a m o s |
ruido	r u i d o |
interesar	i n t e r e s a r |
demás	d e m á s |
provocarlos	p r o v o c a r l o s |
idioma	i d i o m a |
defecto	d e f e c t o |
contestar	c o n t e s t a r |
novia	n o v i a |
esperar	e s p e r a r |
eh	e h |
tul	t u l |
lado	l a d o |
taquillas	t a q u i l l a s |
chorrada	c h o r r a d a |
joder	j o d e r |
plaga	p l a g a |
mosquitos	m o s q u i t o s |
tigre	t i g r e |
reparto	r e p a r t o |
enfriar	e n f r i a r |
interese	i n t e r e s e |
espacio	e s p a c i o |
embargo	e m b a r g o |
jamás	j a m á s |
osado	o s a d o |
preocupes	p r e o c u p e s |
pablo	p a b l o |
grilla	g r i l l a |
doblarse	d o b l a r s e |
quebrarse	q u e b r a r s e |
secuestros	s e c u e s t r o s |
salgo	s a l g o |
novios	n o v i o s |
miró	m i r ó |
dime	d i m e |
muérdago	m u é r d a g o |
ujum	u j u m |
volviéndose	v o l v i é n d o s e |
criado	c r i a d o |
interrogó	i n t e r r o g ó |
adiós	a d i ó s |
tranquilos	t r a n q u i l o s |
sumergíase	s u m e r g í a s e |
niebla	n i e b l a |
saboreaba	s a b o r e a b a |
recuerdos	r e c u e r d o s |
rosales	r o s a l e s |
balcón	b a l c ó n |
duro	d u r o |
mentol	m e n t o l |
bastoncillos	b a s t o n c i l l o s |
tranquilo	t r a n q u i l o |
poemas	p o e m a s |
indios	i n d i o s |
resplandecen	r e s p l a n d e c e n |
doble	d o b l e |
encanto	e n c a n t o |
sacerdotal	s a c e r d o t a l |
voluptuoso	v o l u p t u o s o |
bizca	b i z c a |
puesto	p u e s t o |
enseguida	e n s e g u i d a |
jodido	j o d i d o |
alce	a l c e |
telón	t e l ó n |
sentido	s e n t i d o |
traicionada	t r a i c i o n a d a |
hogueras	h o g u e r a s |
atormentadas	a t o r m e n t a d a s |
huracán	h u r a c á n |
agitaban	a g i t a b a n |
improviso	i m p r o v i s o |
ó	ó |
menguaban	m e n g u a b a n |
desaparecer	d e s a p a r e c e r |
ostras	o s t r a s |
grave	g r a v e |
ceremonia	c e r e m o n i a |
queréis	q u e r é i s |
callaros	c a l l a r o s |
entendéis	e n t e n d é i s |
aprenda	a p r e n d a |
bicicleta	b i c i c l e t a |
alturas	a l t u r a s |
flojear	f l o j e a r |
socorrer	s o c o r r e r |
acompaña	a c o m p a ñ a |
propósito	p r o p ó s i t o |
secuestrarla	s e c u e s t r a r l a |
hallemos	h a l l e m o s |
despoblado	d e s p o b l a d o |
unas	u n a s |
superchulas	s u p e r c h u l a s |
escuchaba	e s c u c h a b a |
inmóvil	i n m ó v i l |
rara	r a r a |
ansiedad	a n s i e d a d |
anticipada	a n t i c i p a d a |
templada	t e m p l a d a |
capaz	c a p a z |
tales	t a l e s |
atrocidades	a t r o c i d a d e s |
hacéis	h a c é i s |
nacidos	n a c i d o s |
clases	c l a s e s |
relato	r e l a t o |
uy	u y |
ibas	i b a s |
um	u m |
colonia	c o l o n i a |
arranca	a r r a n c a |
ventilador	v e n t i l a d o r |
probable	p r o b a b l e |
encontrado	e n c o n t r a d o |
reconocieron	r e c o n o c i e r o n |
alzaron	a l z a r o n |
saludándome	s a l u d á n d o m e |
muestras	m u e s t r a s |
once	o n c e |
doce	d o c e |
mamá	m a m á |
divorciado	d i v o r c i a d o |
papá	p a p á |
mozo	m o z o |
apartar	a p a r t a r |
viejo	v i e j o |
exclamó	e x c l a m ó |
alas	a l a s |
misterioso	m i s t e r i o s o |
ángel	á n g e l |
protegen	p r o t e g e n |
prevenir	p r e v e n i r |
curar	c u r a r |
acometió	a c o m e t i ó |
tentación	t e n t a c i ó n |
risa	r i s a |
ahogo	a h o g o |
estuvo	e s t u v o |
encerrado	e n c e r r a d o |
cárcel	c á r c e l |
nuestra	n u e s t r a |
amistad	a m i s t a d |
morirá	m o r i r á |
querer	q u e r e r |
poder	p o d e r |
galantería	g a l a n t e r í a |
cometer	c o m e t e r |
profundas	p r o f u n d a s |
sentencias	s e n t e n c i a s |
deben	d e b e n |
permanecer	p e r m a n e c e r |
dudosas	d u d o s a s |
continué	c o n t i n u é |
ganando	g a n a n d o |
pelis	p e l i s |
terror	t e r r o r |
leer	l e e r |
porvenir	p o r v e n i r |
mirando	m i r a n d o |
limpias	l i m p i a s |
merluza	m e r l u z a |
colocas	c o l o c a s |
congelador	c o n g e l a d o r |
llega	l l e g a |
autobús	a u t o b ú s |
empezaba	e m p e z a b a |
cubrirse	c u b r i r s e |
tristeza	t r i s t e z a |
suspirar	s u s p i r a r |
románticamente	r o m á n t i c a m e n t e |
inclinóse	i n c l i n ó s e |
negrazo	n e g r a z o |
sondando	s o n d a n d o |
abismo	a b i s m o |
interrumpióse	i n t e r r u m p i ó s e |
volviendo	v o l v i e n d o |
gracioso	g r a c i o s o |
casualidad	c a s u a l i d a d |
tomado	t o m a d o |
té	t é |
dilato	d i l a t o |
antojo	a n t o j o |
esbozábase	e s b o z á b a s e |
informe	i n f o r m e |
mancha	m a n c h a |
cuadrilla	c u a d r i l l a |
tiburones	t i b u r o n e s |
profesor	p r o f e s o r |
bienvenidos	b i e n v e n i d o s |
carmen	c a r m e n |
poner	p o n e r |
contenta	c o n t e n t a |
fresa	f r e s a |
tardan	t a r d a n |
rober	r o b e r |
iré	i r é |
deje	d e j e |
intente	i n t e n t e |
memoria	m e m o r i a |
selectiva	s e l e c t i v a |
recordar	r e c o r d a r |
prudencia	p r u d e n c i a |
lógica	l ó g i c a |
arruinar	a r r u i n a r |
presente	p r e s e n t e |
resto	r e s t o |
vendrá	v e n d r á |
quizás	q u i z á s |
ganas	g a n a s |
gustas	g u s t a s |
slip	s l i p |
reluciente	r e l u c i e n t e |
echar	e c h a r |
gasolina	g a s o l i n a |
dejaré	d e j a r é |
normal	n o r m a l |
predicar	p r e d i c a r |
trigo	t r i g o |
maña	m a ñ a |
fuerza	f u e r z a |
bodas	b o d a s |
probando	p r o b a n d o |
estupendo	e s t u p e n d o |
cuele	c u e l e |
maldito	m a l d i t o |
encanta	e n c a n t a |
invitado	i n v i t a d o |
creía	c r e í a |
amorosas	a m o r o s a s |
pecado	p e c a d o |
habían	h a b í a n |
faltado	f a l t a d o |
ánimos	á n i m o s |
romántica	r o m á n t i c a |
damisela	d a m i s e l a |
primo	p r i m o |
juez	j u e z |
bondadoso	b o n d a d o s o |
don	d o n |
román	r o m á n |
dirección	d i r e c c i ó n |
sonreí	s o n r e í |
incrédulamente	i n c r é d u l a m e n t e |
arrancándose	a r r a n c á n d o s e |
huyó	h u y ó |
atraía	a t r a í a |
leyenda	l e y e n d a |
mexicana	m e x i c a n a |
viejas	v i e j a s |
dinastías	d i n a s t í a s |
dioses	d i o s e s |
crueles	c r u e l e s |
pareció	p a r e c i ó |
salambó	s a l a m b ó |
aquellos	a q u e l l o s |
viajes	v i a j e s |
rubio	r u b i o |
serio	s e r i o |
láser	l á s e r |
intermitente	i n t e r m i t e n t e |
hubiese	h u b i e s e |
ordenador	o r d e n a d o r |
navidad	n a v i d a d |
canta	c a n t a |
males	m a l e s |
espanta	e s p a n t a |
consumo	c o n s u m o |
higos	h i g o s |
estancado	e s t a n c a d o |
dicen	d i c e n |
cooperativistas	c o o p e r a t i v i s t a s |
rió	r i ó |
sonoramente	s o n o r a m e n t e |
diablo	d i a b l o |
esfuerzo	e s f u e r z o |
perdona	p e r d o n a |
tranquila	t r a n q u i l a |
campanario	c a m p a n a r i o |
iglesia	i g l e s i a |
nido	n i d o |
zopilotes	z o p i l o t e s |
ratón	r a t ó n |
empezamos	e m p e z a m o s |
cero	c e r o |
parado	p a r a d o |
martínez	m a r t í n e z |
cuentes	c u e n t e s |
historias	h i s t o r i a s |
lonchera	l o n c h e r a |
almuerzo	a l m u e r z o |
leyendo	l e y e n d o |
hicieron	h i c i e r o n |
sinsonte	s i n s o n t e |
agitóse	a g i t ó s e |
jaula	j a u l a |
prorrumpió	p r o r r u m p i ó |
gorjeos	g o r j e o s |
corta	c o r t a |
solicito	s o l i c i t o |
pisito	p i s i t o |
montamos	m o n t a m o s |
laya	l a y a |
usáis	u s á i s |
conocéis	c o n o c é i s |
fusión	f u s i ó n |
tomate	t o m a t e |
caro	c a r o |
merecía	m e r e c í a |
arzobispo	a r z o b i s p o |
méxico	m é x i c o |
príncipe	p r í n c i p e |
ruso	r u s o |
tiraba	t i r a b a |
tantas	t a n t a s |
mentiras	m e n t i r a s |
pasando	p a s a n d o |
factura	f a c t u r a |
bebido	b e b i d o |
red	r e d |
bull	b u l l |
mezclado	m e z c l a d o |
ginebra	g i n e b r a |
salud	s a l u d |
sol	s o l |
abrasador	a b r a s a d o r |
horizontes	h o r i z o n t e s |
blanquecinos	b l a n q u e c i n o s |
calcinados	c a l c i n a d o s |
calma	c a l m a |
brisas	b r i s a s |
